,HR@1,HR@3,HR@5,HR@10,HR@20,NDCG@1,NDCG@3,NDCG@5,NDCG@10,NDCG@20,Precision@1,Precision@3,Precision@5,Precision@10,Precision@20,Recall@1,Recall@3,Recall@5,Recall@10,Recall@20
Random,0.011235955056179775,0.03544987370438115,0.05661527741485933,0.1129692535493424,0.21714136399268355,0.011235955056179775,0.024893863468837058,0.033581795140109866,0.05151650156958107,0.07757474916958582,0.011235955056179775,0.01181662456812705,0.011323055482971866,0.011296925354934241,0.010857068199634178,0.011235955056179775,0.03544987370438115,0.05661527741485933,0.1129692535493424,0.21714136399268355
Most Popular,0.28830241268182216,0.7237174462154865,0.9080219493075516,0.9422524170368435,0.9500914554481317,0.28830241268182216,0.5382947593729464,0.6147465147723662,0.6267712803758076,0.6287155241471535,0.28830241268182216,0.2412391487384955,0.1816043898615103,0.09422524170368435,0.04750457277240657,0.28830241268182216,0.7237174462154865,0.9080219493075516,0.9422524170368435,0.9500914554481317
Item-CF,0.2598205731208083,0.7043811514676422,0.9060186394913335,0.9439073251458933,0.9515721627035972,0.2598205731208083,0.5147392173784088,0.598361968879389,0.6116204525811859,0.613534872398542,0.2598205731208083,0.2347937171558807,0.18120372789826666,0.0943907325145893,0.047578608135179855,0.2598205731208083,0.7043811514676422,0.9060186394913335,0.9439073251458933,0.9515721627035972
BPR-MF,0.3090323142583399,0.7485410678512324,0.9144673808901663,0.9433847225851407,0.9495688528873791,0.3090323142583399,0.5628049346662886,0.6317805971812019,0.6418719580412187,0.6434135256425101,0.3090323142583399,0.24951368928374415,0.1828934761780332,0.09433847225851406,0.04747844264436895,0.3090323142583399,0.7485410678512324,0.9144673808901663,0.9433847225851407,0.9495688528873791
GMF,0.4577998432192318,0.8484452573817611,0.9309293615538716,0.9443428272798536,0.9520076648375577,0.4577998432192318,0.6873460665854842,0.7217287335129894,0.7263083370585766,0.728232309596135,0.4577998432192318,0.2828150857939204,0.18618587231077427,0.09443428272798535,0.04760038324187788,0.4577998432192318,0.8484452573817611,0.9309293615538716,0.9443428272798536,0.9520076648375577
MLP,0.9404233080742096,0.9410330110617542,0.9423395174636355,0.9468687396568243,0.9537496733733996,0.9404233080742096,0.9407509676428136,0.9412831127838631,0.9427167750531864,0.9444308158980803,0.9404233080742096,0.3136776703539181,0.1884679034927271,0.09468687396568243,0.047687483668669976,0.9404233080742096,0.9410330110617542,0.9423395174636355,0.9468687396568243,0.9537496733733996
NeuMF (from scratch),0.31713265395000434,0.7607351276021252,0.923612925703336,0.9466945388032402,0.9508753592892605,0.31713265395000434,0.5736363766325187,0.6414976027317062,0.6494875581422941,0.6505459980466879,0.31713265395000434,0.2535783758673751,0.18472258514066717,0.094669453880324,0.04754376796446302,0.31713265395000434,0.7607351276021252,0.923612925703336,0.9466945388032402,0.9508753592892605
NeuMF (pre-trained),0.4565804372441425,0.8477484539674245,0.933281073077258,0.9461719362424876,0.9535754725198153,0.4565804372441425,0.6863879618907712,0.7220301137952667,0.7264252063540124,0.7282838925115409,0.4565804372441425,0.2825828179891415,0.18665621461545162,0.09461719362424875,0.04767877362599075,0.4565804372441425,0.8477484539674245,0.933281073077258,0.9461719362424876,0.9535754725198153
