,HR@1,HR@3,HR@5,HR@10,HR@20,NDCG@1,NDCG@3,NDCG@5,NDCG@10,NDCG@20
Random,0.010248901903367497,0.027818448023426062,0.03367496339677892,0.07759882869692533,0.19765739385065886,0.010248901903367497,0.020183863135327593,0.022577799783374253,0.036685217917394014,0.06707093650963634
Most Popular,0.0,0.0,0.005856515373352855,0.029282576866764276,0.16105417276720352,0.0,0.0,0.0024581002656730903,0.00992627820771202,0.04260836128065685
Item-CF,0.0,0.0014641288433382138,0.007320644216691069,0.05856515373352855,0.18594436310395315,0.0,0.0007320644216691069,0.003126001069715768,0.019311139080843386,0.05109622805395891
BPR-MF,0.0014641288433382138,0.007320644216691069,0.016105417276720352,0.05856515373352855,0.16251830161054173,0.0014641288433382138,0.004775782587324913,0.008238360324142045,0.021645153656782306,0.04755838591216497
GMF,0.0,0.0014641288433382138,0.005856515373352855,0.07174231332357248,0.19765739385065886,0.0,0.0007320644216691069,0.002495435098890888,0.02370867304947821,0.0553092157711439
MLP,0.0,0.010248901903367497,0.032210834553440704,0.10834553440702782,0.2240117130307467,0.0,0.005507847008994019,0.014453027630355783,0.038552407592435105,0.06736485699247596
NeuMF (from scratch),0.0014641288433382138,0.008784773060029283,0.021961932650073207,0.1054172767203514,0.17423133235724744,0.0014641288433382138,0.0053161489803388836,0.010670424629630654,0.03769096795602179,0.0551169541087987
NeuMF (pre-trained),0.0014641288433382138,0.010248901903367497,0.03806734992679356,0.09809663250366032,0.21961932650073207,0.0014641288433382138,0.006431609459318263,0.017514072258220967,0.03637915328683169,0.06687626185723944
